DKS	16618.0	MMA	14177.0	SSF	17506.0	A	13489.0	MM	2015-04-06T18:29:21-04:00	4 - DICKS SPORTING GOODS INC (0001089063) (Issuer)	False	SVP, Chief Accounting Officer	Oliver Joseph	http://www.sec.gov/Archives/edgar/data/1089063/000108906315000038/xslF345X03/wf-form4_142835935163393.xml
PSTR	0		0		6589.67	A	0		2015-04-06T18:29:03-04:00	4 - PostRock Energy Corp (0001473061) (Issuer)	True	No Title	Damon William	http://www.sec.gov/Archives/edgar/data/1333555/000120919115032750/xslF345X03/doc4.xml
PSTR	0		0		3020.83	A	0		2015-04-06T18:28:11-04:00	4/A - PostRock Energy Corp (0001473061) (Issuer)	True	No Title	Damon William	http://www.sec.gov/Archives/edgar/data/1333555/000120919115032749/xslF345X03/doc4a.xml
PLUG	8929.0	A	0		0		0		2015-04-06T18:27:18-04:00	4 - PLUG POWER INC (0001093691) (Issuer)	True	No Title	MCNAMEE GEORGE C	http://www.sec.gov/Archives/edgar/data/1008001/000110465915025998/xslF345X03/a4.xml
PLUG	2728.0	A	0		0		0		2015-04-06T18:25:48-04:00	4 - PLUG POWER INC (0001093691) (Issuer)	True	No Title	Kenausis Gregory	http://www.sec.gov/Archives/edgar/data/1093691/000110465915025997/xslF345X03/a4.xml
SSI	0		5694.0	SFF	0		0		2015-04-06T18:24:47-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	EVP, Chief Stores Officer	LUNDY RUSS II	http://www.sec.gov/Archives/edgar/data/6885/000000688515000100/xslF345X03/wf-form4_142835907789961.xml
SSI	0		1072.0	FF	0		0		2015-04-06T18:24:35-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	EVP, Chief Information Officer	HUNTER STEVEN L	http://www.sec.gov/Archives/edgar/data/6885/000000688515000099/xslF345X03/wf-form4_142835906536529.xml
SSI	0		4838.0	FF	0		0		2015-04-06T18:24:19-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	Chief Merchandising Officer	Lawrence Steven Paul	http://www.sec.gov/Archives/edgar/data/6885/000000688515000098/xslF345X03/wf-form4_142835905004286.xml
SSI	0		378.0	FF	0		0		2015-04-06T18:24:02-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	SVP,  Finance and Controller	STASYSZEN RICHARD E	http://www.sec.gov/Archives/edgar/data/6885/000000688515000097/xslF345X03/wf-form4_142835903252583.xml
SSI	0		944.0	FF	0		0		2015-04-06T18:23:45-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	EVP, Chief Financial Officer	Shein Oded	http://www.sec.gov/Archives/edgar/data/6885/000000688515000096/xslF345X03/wf-form4_142835901569040.xml
SSI	0		757.0	FF	0		0		2015-04-06T18:23:33-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	False	EVP, Chief Marketing Officer	Gentner William E	http://www.sec.gov/Archives/edgar/data/6885/000000688515000095/xslF345X03/wf-form4_142835900361353.xml
SSI	0		7724.0	FF	0		0		2015-04-06T18:23:20-04:00	4 - STAGE STORES INC (0000006885) (Issuer)	True	President & CEO	GLAZER MICHAEL L	http://www.sec.gov/Archives/edgar/data/6885/000000688515000094/xslF345X03/wf-form4_142835899087130.xml
LEI	7182.0	AP	1692.0	F	0		0		2015-04-06T18:23:12-04:00	4/A - LUCAS ENERGY, INC. (0001309082) (Issuer)	False	CEO & President	Schnur Anthony Charles	http://www.sec.gov/Archives/edgar/data/1309082/000158069515000105/xslF345X03/primary_doc.xml
